id,totalWinners,totalAmount,winners,startedAt,settledAt,status,gameType,currency,wager,payout,dealerName,dealerUid,numOfParticipants,topSlot_WheelSector,topSlot_Multi,resultType,resultSector,bonusType,bonusMultiplier,cashMinMulti,coinColor,flapperGreen,flapperBlue,flapperYellow,maxMulti,isTopSlotMatched
65de2509d3572a704f8e2bf9,5197,9848,"[405.0, 263.02, 207.54, 199.11, 177.34]",2024-02-27T18:07:32.392Z,2024-02-27T18:08:07.709Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,CoinFlip,1,WinningNumber,2,,,,,,,,2,False
65de24dfd3572a704f8e2bf5,5142,8466,"[336.05, 276.72, 202.06, 160.0, 136.51]",2024-02-27T18:06:50.111Z,2024-02-27T18:07:26.675Z,Resolved,crazytime,EUR,6.43,0.0,Sofija,tts134207_______,1,CoinFlip,2,WinningNumber,1,,,,,,,,1,False
65de24b5d3572a704f8e2bf2,5287,46978,"[6502.35, 4154.51, 3907.06, 1788.15, 1013.77]",2024-02-27T18:06:02.833Z,2024-02-27T18:06:44.124Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,CrazyBonus,1,WinningNumber,10,,,,,,,,10,False
65de2486d3572a704f8e2bee,4802,14393,"[578.44, 553.43, 336.05, 236.79, 222.48]",2024-02-27T18:05:18.131Z,2024-02-27T18:05:56.927Z,Resolved,crazytime,EUR,2.2,0.0,Sofija,tts134207_______,1,1,3,WinningNumber,1,,,,,,,,3,True
65de2459d3572a704f8e2bea,5184,10268,"[466.75, 286.43, 266.01, 246.96, 153.51]",2024-02-27T18:04:34.893Z,2024-02-27T18:05:12.349Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,Pachinko,2,WinningNumber,2,,,,,,,,2,False
65de242ed3572a704f8e2be9,4853,5902,"[140.28, 88.99, 70.0, 63.01, 50.0]",2024-02-27T18:03:45.633Z,2024-02-27T18:04:28.959Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,CrazyBonus,4,WinningNumber,1,,,,,,,,1,False
65de23fcd3572a704f8e2be6,5601,41867,"[8890.57, 1302.35, 1050.26, 975.35, 924.14]",2024-02-27T18:03:00.282Z,2024-02-27T18:03:39.657Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,2,5,WinningNumber,10,,,,,,,,10,False
65de23cfd3572a704f8e2be1,4963,10548,"[433.83, 415.07, 300.0, 289.3, 252.04]",2024-02-27T18:02:15.561Z,2024-02-27T18:02:54.234Z,Resolved,crazytime,EUR,3.04,0.0,Sofija,tts134207_______,1,10,2,WinningNumber,2,,,,,,,,2,False
65de23a2d3572a704f8e2bdd,4150,81933,"[7188.58, 1798.66, 1774.61, 1529.03, 1300.0]",2024-02-27T18:01:30.679Z,2024-02-27T18:02:09.658Z,Resolved,crazytime,EUR,3.16,0.0,Sofija,tts134207_______,1,1,25,WinningNumber,1,,,,,,,,25,True
65de2376d3572a704f8e2bda,4038,14308,"[1156.89, 467.6, 329.28, 273.02, 235.24]",2024-02-27T18:00:44.656Z,2024-02-27T18:01:24.810Z,Resolved,crazytime,EUR,24.55,0.0,Sofija,tts134207_______,1,1,3,WinningNumber,1,,,,,,,,3,True
65de2347d3572a704f8e2bd6,4119,6308,"[289.22, 276.72, 129.53, 128.59, 118.4]",2024-02-27T17:59:55.139Z,2024-02-27T18:00:38.630Z,Resolved,crazytime,EUR,11.22,0.0,Sofija,tts134207_______,1,CashHunt,3,WinningNumber,1,,,,,,,,1,False
65de2316d3572a704f8e2bd2,5144,10835,"[433.83, 306.78, 252.04, 180.33, 150.0]",2024-02-27T17:59:11.006Z,2024-02-27T17:59:49.136Z,Resolved,crazytime,EUR,32.73,0.0,Sofija,tts134207_______,1,10,3,WinningNumber,2,,,,,,,,2,False
65de22ead3572a704f8e2bce,4706,7207,"[233.8, 197.96, 138.78, 138.36, 136.51]",2024-02-27T17:58:28.096Z,2024-02-27T17:59:05.082Z,Resolved,crazytime,EUR,32.73,0.0,Sofija,tts134207_______,1,2,1,WinningNumber,1,,,,,,,,1,False
65de22bfd3572a704f8e2bca,-1,-1,[],2024-02-27T17:57:44.453Z,2024-02-27T17:58:22.320Z,Resolved,crazytime,EUR,32.73,0.0,Sofija,tts134207_______,1,10,3,WinningNumber,1,,,,,,,,1,False
65de2293d3572a704f8e2bc6,6413,44689,"[5068.87, 1463.03, 760.97, 550.0, 489.46]",2024-02-27T17:56:56.421Z,2024-02-27T17:57:38.576Z,Resolved,crazytime,EUR,1.87,2.57,Sofija,tts134207_______,1,1,2,WinningNumber,10,,,,,,,,10,False
65de2263d3572a704f8e2bc3,5542,21562,"[2036.44, 990.0, 987.83, 691.21, 415.07]",2024-02-27T17:56:06.364Z,2024-02-27T17:56:50.522Z,Resolved,crazytime,EUR,0.0,0.0,Sofija,tts134207_______,1,CoinFlip,2,WinningNumber,5,,,,,,,,5,False
65de2231d3572a704f8e2bbe,5312,18818,"[1212.35, 532.01, 515.25, 350.7, 300.0]",2024-02-27T17:55:18.833Z,2024-02-27T17:56:00.495Z,Resolved,crazytime,EUR,1.17,0.0,Sofija,tts134207_______,1,1,2,WinningNumber,5,,,,,,,,5,False
65de2201d3572a704f8e2bbb,4372,8066,"[678.81, 552.97, 276.72, 233.8, 111.24]",2024-02-27T17:54:29.157Z,2024-02-27T17:55:12.755Z,Resolved,crazytime,EUR,2.1,0.0,Sofija,tts134207_______,1,2,20,WinningNumber,1,,,,,,,,1,False
65de21d0d3572a704f8e2bb6,4161,6470,"[552.97, 111.24, 100.0, 82.32, 74.02]",2024-02-27T17:53:44.218Z,2024-02-27T17:54:23.130Z,Resolved,crazytime,EUR,1.17,0.0,Sofija,tts134207_______,1,2,3,WinningNumber,1,,,,,,,,1,False
65de21a3d3572a704f8e2bb3,5445,12787,"[450.0, 221.67, 177.59, 165.0, 150.0]",2024-02-27T17:53:01.226Z,2024-02-27T17:53:38.387Z,Resolved,crazytime,EUR,2.1,0.0,Sofija,tts134207_______,1,CashHunt,2,WinningNumber,2,,,,,,,,2,False
